Wall time,Step,Value
1717187819.325164,0,0.5138984322547913
1717187838.691289,1,0.46756985783576965
1717187856.294087,2,0.3795536160469055
1717187873.718658,3,0.3377458453178406
1717187894.028158,4,0.3203473389148712
1717187919.076728,5,0.31244224309921265
1717187936.957135,6,0.3091951310634613
1717187954.021867,7,0.3077828586101532
1717187971.26339,8,0.3066190481185913
1717187987.78091,9,0.30595505237579346
1717188004.622774,10,0.3049210011959076
1717188024.152795,11,0.30434760451316833
1717188046.418939,12,0.3037244975566864
1717188064.392985,13,0.30370303988456726
1717188086.176585,14,0.30256888270378113
1717188103.91532,15,0.3018523156642914
1717188118.715503,16,0.30098623037338257
1717188135.697852,17,0.30049946904182434
1717188150.702113,18,0.2999638020992279
1717188166.720993,19,0.29913562536239624
1717188185.657381,20,0.29850348830223083
1717188202.446922,21,0.29812943935394287
1717188219.383535,22,0.297740638256073
